method,run_id,seed,control_name,control_value,checkpoint_kind,metric_schema_version,checkpoint_size,checkpoint_mtime_ns,metric_definition,decoder_pairwise_cosine_similarity
l1,l1_l1_coefficient=0.3_seed=0,0,l1_coefficient,0.3,last,1,1058929,1786569806228163711,Sparse but Wrong Eq. (4),0.07153380363330608
l1,l1_l1_coefficient=0.5_seed=0,0,l1_coefficient,0.5,last,1,1058929,1786569800524080370,Sparse but Wrong Eq. (4),0.07247835614751759
l1,l1_l1_coefficient=1.0_seed=0,0,l1_coefficient,1.0,last,1,1058929,1786569833184557164,Sparse but Wrong Eq. (4),0.07493951108087593
l1,l1_l1_coefficient=2.0_seed=0,0,l1_coefficient,2.0,last,1,1058929,1786569805272149746,Sparse but Wrong Eq. (4),0.0804306196838315
l1,l1_l1_coefficient=3.0_seed=0,0,l1_coefficient,3.0,last,1,1058929,1786569805364151089,Sparse but Wrong Eq. (4),0.08389692659369817
l1,l1_l1_coefficient=3.5_seed=0,0,l1_coefficient,3.5,last,1,1058929,1786569796820026236,Sparse but Wrong Eq. (4),0.0837512040486756
l1,l1_l1_coefficient=4.5_seed=0,0,l1_coefficient,4.5,last,1,1058929,1786569830060511599,Sparse but Wrong Eq. (4),0.08523876391650885
l1,l1_l1_coefficient=5.0_seed=0,0,l1_coefficient,5.0,last,1,1058929,1786569837576621208,Sparse but Wrong Eq. (4),0.08522573105937112
topk,topk_k=100_seed=0,0,k,100,last,1,1058929,1786569924329883017,Sparse but Wrong Eq. (4),0.0775467173872797
topk,topk_k=101_seed=0,0,k,101,last,1,1058929,1786569923969877792,Sparse but Wrong Eq. (4),0.08676343604528002
topk,topk_k=102_seed=0,0,k,102,last,1,1058929,1786569921557842788,Sparse but Wrong Eq. (4),0.08418594194110426
topk,topk_k=103_seed=0,0,k,103,last,1,1058929,1786569933982023048,Sparse but Wrong Eq. (4),0.076640137057545
topk,topk_k=104_seed=0,0,k,104,last,1,1058929,1786569926693917320,Sparse but Wrong Eq. (4),0.07581685139356673
topk,topk_k=105_seed=0,0,k,105,last,1,1058929,1786569924797889808,Sparse but Wrong Eq. (4),0.07561998938270571
topk,topk_k=106_seed=0,0,k,106,last,1,1058929,1786569924309882726,Sparse but Wrong Eq. (4),0.07626816448625393
topk,topk_k=107_seed=0,0,k,107,last,1,1058929,1786569925485899791,Sparse but Wrong Eq. (4),0.07479421635212923
topk,topk_k=108_seed=0,0,k,108,last,1,1058929,1786569926581915695,Sparse but Wrong Eq. (4),0.07661376745134171
topk,topk_k=109_seed=0,0,k,109,last,1,1058929,1786569928381941811,Sparse but Wrong Eq. (4),0.07968170018074977
topk,topk_k=10_seed=0,0,k,10,last,1,1058929,1786569808880202449,Sparse but Wrong Eq. (4),0.07617932260828915
topk,topk_k=110_seed=0,0,k,110,last,1,1058929,1786569932009994444,Sparse but Wrong Eq. (4),0.07389941446182346
topk,topk_k=111_seed=0,0,k,111,last,1,1058929,1786569930025965662,Sparse but Wrong Eq. (4),0.07394708065420601
topk,topk_k=112_seed=0,0,k,112,last,1,1058929,1786569932474001174,Sparse but Wrong Eq. (4),0.07294574457738247
